Date,DayName,StartOfWeek,StartOfMonth,StartOfQuarter,MonthName,MonthNumber,StartOfYear,Year
2020-09-04,Friday,2020-08-31,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-05,Saturday,2020-08-31,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-06,Sunday,2020-08-31,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-07,Monday,2020-09-07,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-08,Tuesday,2020-09-07,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-09,Wednesday,2020-09-07,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-10,Thursday,2020-09-07,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-11,Friday,2020-09-07,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-12,Saturday,2020-09-07,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-13,Sunday,2020-09-07,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-14,Monday,2020-09-14,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-15,Tuesday,2020-09-14,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-16,Wednesday,2020-09-14,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-17,Thursday,2020-09-14,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-18,Friday,2020-09-14,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-19,Saturday,2020-09-14,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-20,Sunday,2020-09-14,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-21,Monday,2020-09-21,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-22,Tuesday,2020-09-21,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-23,Wednesday,2020-09-21,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-24,Thursday,2020-09-21,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-25,Friday,2020-09-21,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-26,Saturday,2020-09-21,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-27,Sunday,2020-09-21,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-28,Monday,2020-09-28,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-29,Tuesday,2020-09-28,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-30,Wednesday,2020-09-28,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-10-01,Thursday,2020-09-28,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-02,Friday,2020-09-28,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-03,Saturday,2020-09-28,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-04,Sunday,2020-09-28,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-05,Monday,2020-10-05,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-06,Tuesday,2020-10-05,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-07,Wednesday,2020-10-05,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-08,Thursday,2020-10-05,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-09,Friday,2020-10-05,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-10,Saturday,2020-10-05,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-11,Sunday,2020-10-05,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-12,Monday,2020-10-12,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-13,Tuesday,2020-10-12,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-14,Wednesday,2020-10-12,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-15,Thursday,2020-10-12,2020-10-01,2020-10-01,October,10,2020-01-01,2020
2020-10-16,Friday,2020-10-12,2020-10-01,2020-10-01,October,10,2020-01-01,2020
